index,path_before,path_BIC,sha_before,sha_BIC,path_fix,sha_fix,key
lucene-solr0,lucene/core/src/java/org/apache/lucene/search/BooleanQuery.java,lucene/core/src/java/org/apache/lucene/search/BooleanQuery.java,fbd05167f455e3ce2b2ead50336e2b9c2521cd6c,04786244d0ae37eef88948c7fdfb5ccb84ca47da,lucene/core/src/java/org/apache/lucene/search/BooleanQuery.java,f7711d712472528b567ab975d0ed677bbd30ac12,04786244d0ae37eef88948c7fdfb5ccb84ca47dalucene/core/src/java/org/apache/lucene/search/BooleanQuery.javafbd05167f455e3ce2b2ead50336e2b9c2521cd6clucene/core/src/java/org/apache/lucene/search/BooleanQuery.javaf7711d712472528b567ab975d0ed677bbd30ac12lucene/core/src/java/org/apache/lucene/search/BooleanQuery.java
lucene-solr1,lucene/sandbox/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.java,lucene/sandbox/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.java,cf943c545478e01a2c76013f1c31b96786cdd165,5fb800f01819a2bfcebf8ba04fb1fd7d28ba6b23,lucene/core/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.java,9942544a7fc9f1abfb70d70e7ebfe275134222f4,5fb800f01819a2bfcebf8ba04fb1fd7d28ba6b23lucene/sandbox/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.javacf943c545478e01a2c76013f1c31b96786cdd165lucene/sandbox/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.java9942544a7fc9f1abfb70d70e7ebfe275134222f4lucene/core/src/java/org/apache/lucene/document/LatLonPointDistanceQuery.java
lucene-solr2,lucene/sandbox/src/java/org/apache/lucene/document/LatLonShapeQuery.java,lucene/sandbox/src/java/org/apache/lucene/document/ShapeQuery.java,cbaedb470c8ddc7b21e8ff0b2729c6cf97fbd3d0,de423aec1f839edcf51a5cfd5def76318a8763e6,lucene/sandbox/src/java/org/apache/lucene/document/ShapeQuery.java,9942544a7fc9f1abfb70d70e7ebfe275134222f4,de423aec1f839edcf51a5cfd5def76318a8763e6lucene/sandbox/src/java/org/apache/lucene/document/ShapeQuery.javacbaedb470c8ddc7b21e8ff0b2729c6cf97fbd3d0lucene/sandbox/src/java/org/apache/lucene/document/LatLonShapeQuery.java9942544a7fc9f1abfb70d70e7ebfe275134222f4lucene/sandbox/src/java/org/apache/lucene/document/ShapeQuery.java
lucene-solr3,modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java,lucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,fdb0bd695e9ac59829c1138a5a81eba4f133efe0,635699a563e7b34a1723e965fb79a9965efadeeb,lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,26628b2717a73235db56fde94f7f5b64cbc5b8b2,635699a563e7b34a1723e965fb79a9965efadeeblucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.javafdb0bd695e9ac59829c1138a5a81eba4f133efe0modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java26628b2717a73235db56fde94f7f5b64cbc5b8b2lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java
lucene-solr4,modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java,lucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,fdb0bd695e9ac59829c1138a5a81eba4f133efe0,6414781969966a6266f4a844aa45d2dad2cce01a,lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,26628b2717a73235db56fde94f7f5b64cbc5b8b2,6414781969966a6266f4a844aa45d2dad2cce01alucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.javafdb0bd695e9ac59829c1138a5a81eba4f133efe0modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java26628b2717a73235db56fde94f7f5b64cbc5b8b2lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java
lucene-solr5,modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java,lucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,fdb0bd695e9ac59829c1138a5a81eba4f133efe0,9d1c2019a8a46a190556c1222c69c2aea1458759,lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java,26628b2717a73235db56fde94f7f5b64cbc5b8b2,9d1c2019a8a46a190556c1222c69c2aea1458759lucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.javafdb0bd695e9ac59829c1138a5a81eba4f133efe0modules/spatial/src/java/org/apache/lucene/spatial/strategy/prefix/tree/QuadPrefixTree.java26628b2717a73235db56fde94f7f5b64cbc5b8b2lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/QuadPrefixTree.java
lucene-solr6,lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.java,lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.java,b5ef13330f179ac6a2d98b9dfa4803811190e773,d494f6be13a585c273c6a3dabc76644f4d480c31,lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.java,d9dbb70d01f9d6a9b63296e92eda5e92d1193bb4,d494f6be13a585c273c6a3dabc76644f4d480c31lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.javab5ef13330f179ac6a2d98b9dfa4803811190e773lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.javad9dbb70d01f9d6a9b63296e92eda5e92d1193bb4lucene/sandbox/src/java/org/apache/lucene/geo/Tessellator.java
lucene-solr7,lucene/core/src/java/org/apache/lucene/store/FSDirectory.java,lucene/core/src/java/org/apache/lucene/store/FSDirectory.java,23aa3e09064b7147e3eb311283fe9e3410f9e39d,3f21788fbd40efa333949f9f373e34645d873219,lucene/core/src/java/org/apache/lucene/store/FSDirectory.java,fb6e28d9f1ea016a8c937f15c8043b0684cf77dd,3f21788fbd40efa333949f9f373e34645d873219lucene/core/src/java/org/apache/lucene/store/FSDirectory.java23aa3e09064b7147e3eb311283fe9e3410f9e39dlucene/core/src/java/org/apache/lucene/store/FSDirectory.javafb6e28d9f1ea016a8c937f15c8043b0684cf77ddlucene/core/src/java/org/apache/lucene/store/FSDirectory.java
lucene-solr8,lucene/src/java/org/apache/lucene/store/FileSwitchDirectory.java,lucene/core/src/java/org/apache/lucene/store/FileSwitchDirectory.java,8887431241d9ed735229f86936d4a014ccf78421,3b67b17493216f6b0c81a981073fd5f61eace6f4,lucene/core/src/java/org/apache/lucene/store/FileSwitchDirectory.java,b6c68ccdedc7bedb73d90c7e21b285b4e71f7ff4,3b67b17493216f6b0c81a981073fd5f61eace6f4lucene/core/src/java/org/apache/lucene/store/FileSwitchDirectory.java8887431241d9ed735229f86936d4a014ccf78421lucene/src/java/org/apache/lucene/store/FileSwitchDirectory.javab6c68ccdedc7bedb73d90c7e21b285b4e71f7ff4lucene/core/src/java/org/apache/lucene/store/FileSwitchDirectory.java
lucene-solr9,lucene/src/java/org/apache/lucene/util/IOUtils.java,lucene/core/src/java/org/apache/lucene/util/IOUtils.java,29963c7c7e837f9e359722a11d854d0b300dadfe,4fdcb14acf75ad91c33af31038f64ab4af3010ab,lucene/core/src/java/org/apache/lucene/util/IOUtils.java,142a20bb0b24b657da8e267a5ebe205f35dc0637,4fdcb14acf75ad91c33af31038f64ab4af3010ablucene/core/src/java/org/apache/lucene/util/IOUtils.java29963c7c7e837f9e359722a11d854d0b300dadfelucene/src/java/org/apache/lucene/util/IOUtils.java142a20bb0b24b657da8e267a5ebe205f35dc0637lucene/core/src/java/org/apache/lucene/util/IOUtils.java
