BIShal1,BIpath,fixPath,fixShal1,numLineBI,numLinePrefix,content
ce9f593495a6c9c89311aa1608ffda7fe92d0aa0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheContext.java,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheContext.java,d7be87ea687f707c9489fe59db2e60ec8dda057d,628,628,"        if (grp.supportsTombstone() && cache.configuration().getAtomicityMode() == TRANSACTIONAL)"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,47,47,"    private final ThreadLocal<Integer> threadLocTxId = new ThreadLocal<>();"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,50,50,"    private final Map<Integer, TcpClientTransaction> txMap = new ConcurrentHashMap<>();"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,106,106,"        threadLocTxId.set(tx0.txId);"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,108,108,"        txMap.put(tx0.txId, tx0);"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,129,129,"        Integer txId = threadLocTxId.get();"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,131,131,"        if (txId == null)"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,134,134,"        TcpClientTransaction tx0 = txMap.get(txId);"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,164,164,"            Integer threadTxId;"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,166,166,"            if (closed || (threadTxId = threadLocTxId.get()) == null)"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,169,169,"            if (txId != threadTxId)"
c75d6eb053164ee0cb8d74f98533db3a11a5d82a,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,modules/core/src/main/java/org/apache/ignite/internal/client/thin/TcpClientTransactions.java,7711fc9e37c622e358de97d8e0d8b98c23959965,205,205,"                txMap.remove(txId);"
