matches,deletes,inserts,moves,updates
2157,200,1556,69,37
1832,525,4426,199,20
2879,904,4591,209,43
2251,106,221,22,12
1321,43,656,23,11
2298,293,2335,143,18
1570,732,3055,223,54
4385,51,212,22,8
4418,18,58,10,2
1741,190,738,99,33
1786,195,4558,133,22
2531,60,374,15,8
3048,211,1473,127,10
2443,150,835,63,16
4464,7,131,10,0
2496,20,97,12,3
4419,17,52,10,2
1415,1859,932,134,42
1618,228,661,86,37
1321,6,4,0,1
2519,217,1616,77,30
1283,44,1457,10,2
2733,3,5,0,0
2519,217,1693,77,29
4260,48,245,54,20
2511,225,1895,81,31
841,7,74,13,1
3177,82,138,21,9
4575,9,46,2,0
7572,134,232,14,2
5081,690,1062,103,24
2171,186,371,50,28
8664,180,1166,126,9
853,131,1152,107,33
942,42,371,80,36
1229,341,600,95,46
2725,408,3371,107,22
3416,321,2247,68,15
1119,782,3706,149,18
5579,84,449,20,12
5326,337,1467,81,30
6241,101,1153,86,8
2205,188,996,107,47
1460,110,174,3,11
3388,60,331,58,14
2422,34,237,43,27
2342,314,1370,161,44
2282,111,395,71,33
2293,163,890,91,41
1617,314,1586,155,48
3015,165,699,134,45
155,21,295,29,18
5427,198,1172,74,37
6282,196,90,34,10
2982,9,775,15,3
3742,142,395,17,3
2229,128,245,39,22
2103,254,3129,102,41
2168,281,4357,184,55
3309,1189,1379,143,75
483,536,114,34,37
2060,14,26,0,0
1991,331,2564,162,33
363,65,1176,32,22
81,2,162,4,4
818,35,149,14,28
2381,91,264,33,9
2147,325,1128,68,15
1691,85,785,47,25
1085,60,177,25,9
799,10,455,16,23
1554,2320,1969,188,41
2812,1325,1912,197,74
4117,13,20,1,12
3933,22,197,12,10
2256,1422,2440,176,65
1024,4,87,8,2
289,0,739,11,3
1086,19,144,11,8
283,6,822,22,4
2551,582,5204,238,18
2788,40,131,13,9
2487,96,177,19,4
3661,223,630,37,10
1179,391,835,97,49
2135,258,1331,130,57
2219,237,1229,116,50
975,595,1499,116,28
1243,79,193,16,13
1957,362,2791,60,19
3543,268,1033,222,47
1785,21,97,9,8
4295,17,545,10,4
4042,1169,672,108,53
439,139,769,118,76
155,21,292,29,18
1955,1795,4090,332,39
1759,47,269,28,25
1487,5,310,3,3
144,3,37,2,0
260,13,21,7,2
1276,764,4391,158,18
2024,16,94,18,11
2028,12,53,15,10
1220,681,1662,94,27
1228,673,1595,92,26
2059,4099,803,188,36
5839,319,1032,139,28
1820,1454,141,34,13
500,1,50,0,0
570,31,62,12,2
181,47,199,36,35
1711,84,290,30,10
2034,29,788,30,14
1997,4,66,5,0
